AD 3_6_plus_6_8,hint,1,1,1,AD JCommTable8.R0C0
AD 3_6_plus_6_8,hint,1,1,1,AD JCommTable4.R1C0
AD 3_6_plus_6_8,hint,1,1,1,AD JCommTable4.R0C0
AD 3_6_plus_6_8,hint,1,1,1,AD JCommTable5.R1C0
AD 3_6_plus_6_8,hint,1,1,1,AD JCommTable5.R0C0
AD 3_6_plus_6_8,hint,1,1,1,AD JCommTable6.R1C0
AD 3_6_plus_6_8,hint,1,1,1,AD JCommTable6.R0C0
AD 3_6_plus_6_8,hint,0,1,1,AD done
AD 9_2_plus_4_7,incorrect,1,1,1,AD done
AD 9_2_plus_4_7,incorrect,2,1,1,AD JCommTable6.R0C0
AD 9_2_plus_4_7,incorrect,1,1,1,AD JCommTable5.R0C0
AD 9_2_plus_4_7,incorrect,2,1,1,AD JCommTable4.R0C0
AD 9_2_plus_4_7,incorrect,2,1,1,AD JCommTable6.R1C0
AD 9_2_plus_4_7,incorrect,1,1,1,AD JCommTable5.R1C0
AD 9_2_plus_4_7,incorrect,2,1,1,AD JCommTable4.R1C0
AD 9_2_plus_4_7,correct,0,1,0,AD JCommTable8.R0C0
AD 5_6_plus_1_4,correct,0,1,0,AD JCommTable8.R0C0
AD 5_6_plus_1_4,incorrect,3,1,0,AD JCommTable5.R0C0
AD 5_6_plus_1_4,incorrect,1,1,0,AD JCommTable5.R1C0
AD 5_6_plus_1_4,correct,0,1,0,AD JCommTable4.R1C0
AD 5_6_plus_1_4,incorrect,1,1,0,AD done
AD 5_6_plus_1_4,correct,0,1,0,AD JCommTable4.R0C0
AD 5_6_plus_1_4,incorrect,1,1,0,AD JCommTable6.R1C0
AD 5_6_plus_1_4,correct,0,1,0,AD JCommTable6.R0C0
AD 3_3_plus_7_8,correct,0,1,0,AD JCommTable8.R0C0
AD 3_3_plus_7_8,correct,1,1,0,AD JCommTable4.R1C0
AD 3_3_plus_7_8,correct,1,1,0,AD JCommTable5.R1C0
AD 3_3_plus_7_8,correct,0,1,0,AD JCommTable4.R0C0
AD 3_3_plus_7_8,incorrect,1,1,0,AD JCommTable6.R0C0
AD 3_3_plus_7_8,correct,0,1,0,AD JCommTable5.R0C0
AD 3_3_plus_7_8,correct,0,1,0,AD JCommTable6.R1C0
AD 3_3_plus_7_8,correct,0,1,0,AD done
AD 6_8_plus_1_1,correct,0,1,0,AD JCommTable8.R0C0
AD 6_8_plus_1_1,correct,0,1,0,AD JCommTable4.R1C0
AD 6_8_plus_1_1,correct,0,1,0,AD JCommTable4.R0C0
AD 6_8_plus_1_1,correct,0,1,0,AD JCommTable5.R1C0
AD 6_8_plus_1_1,correct,0,1,0,AD JCommTable5.R0C0
AD 6_8_plus_1_1,correct,0,1,0,AD JCommTable6.R1C0
AD 6_8_plus_1_1,incorrect,1,1,0,AD done
AD 6_8_plus_1_1,correct,0,1,0,AD JCommTable6.R0C0
AD 5_4_plus_2_7,correct,0,1,0,AD JCommTable8.R0C0
AD 5_4_plus_2_7,correct,0,1,0,AD JCommTable4.R1C0
AD 5_4_plus_2_7,correct,0,1,0,AD JCommTable4.R0C0
AD 5_4_plus_2_7,correct,0,1,0,AD JCommTable5.R1C0
AD 5_4_plus_2_7,correct,0,1,0,AD JCommTable5.R0C0
AD 5_4_plus_2_7,correct,0,1,0,AD JCommTable6.R0C0
AD 5_4_plus_2_7,incorrect,1,1,1,AD done
AD 5_4_plus_2_7,correct,0,1,0,AD JCommTable6.R1C0
M 4_4_times_8_10,incorrect,1,0,0,M  JCommTable8.R0C0
M 4_4_times_8_10,incorrect,1,0,0,M  JCommTable4.R1C0
M 4_4_times_8_10,hint,1,1,1,M  JCommTable6.R0C0
M 4_4_times_8_10,hint,1,1,1,M  JCommTable6.R1C0
M 4_4_times_8_10,correct,0,1,0,M  done
M 1_8_times_4_8,correct,1,1,0,M  JCommTable6.R1C0
M 1_8_times_4_8,correct,0,1,0,M  JCommTable6.R0C0
M 1_8_times_4_8,correct,0,1,0,M  done
M 8_2_times_1_7,correct,0,1,0,M  JCommTable6.R0C0
M 8_2_times_1_7,correct,0,1,0,M  JCommTable6.R1C0
M 8_2_times_1_7,correct,0,1,0,M  done
AS 6_5_plus_7_5,incorrect,1,0,0,AS JCommTable8.R0C0
AS 6_5_plus_7_5,incorrect,2,1,1,AS JCommTable6.R0C0
AS 6_5_plus_7_5,incorrect,2,1,1,AS JCommTable6.R1C0
AS 6_5_plus_7_5,correct,0,1,0,AS done
AS 3_9_plus_9_9,incorrect,1,0,0,AS JCommTable8.R0C0
AS 3_9_plus_9_9,incorrect,1,1,0,AS JCommTable6.R1C0
AS 3_9_plus_9_9,correct,1,1,0,AS JCommTable6.R0C0
AS 3_9_plus_9_9,correct,0,1,0,AS done
AS 1_6_plus_4_6,correct,0,1,0,AS JCommTable6.R1C0
AS 1_6_plus_4_6,correct,0,1,0,AS JCommTable6.R0C0
AS 1_6_plus_4_6,correct,0,1,0,AS done
M 6_3_times_1_5,incorrect,1,1,0,M  JCommTable6.R1C0
M 6_3_times_1_5,correct,1,1,0,M  JCommTable6.R0C0
M 6_3_times_1_5,correct,0,1,0,M  done
AD 9_8_plus_4_5,correct,0,1,0,AD JCommTable8.R0C0
AD 9_8_plus_4_5,correct,0,1,0,AD JCommTable4.R1C0
AD 9_8_plus_4_5,correct,0,1,0,AD JCommTable4.R0C0
AD 9_8_plus_4_5,correct,0,1,0,AD JCommTable5.R1C0
AD 9_8_plus_4_5,incorrect,1,1,0,AD JCommTable6.R1C0
AD 9_8_plus_4_5,incorrect,2,1,0,AD JCommTable6.R0C0
AD 9_8_plus_4_5,correct,0,1,0,AD JCommTable5.R0C0
AD 9_8_plus_4_5,correct,0,1,0,AD done
AD 9_7_plus_5_2,incorrect,1,1,0,AD JCommTable4.R1C0
AD 9_7_plus_5_2,correct,0,1,0,AD JCommTable8.R0C0
AD 9_7_plus_5_2,incorrect,1,1,0,AD JCommTable4.R0C0
AD 9_7_plus_5_2,correct,0,1,0,AD JCommTable5.R1C0
AD 9_7_plus_5_2,correct,0,1,0,AD JCommTable5.R0C0
AD 9_7_plus_5_2,correct,0,1,0,AD JCommTable6.R1C0
AD 9_7_plus_5_2,correct,0,1,0,AD JCommTable6.R0C0
AD 9_7_plus_5_2,correct,0,1,0,AD done
